city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1651531,Ambon,ID,-3.7,128.18,01/24/20,            75.2,94,20,10.29
2512186,Puerto del Rosario,ES,28.5,-13.86,01/24/20,            62.6,77,20,1.12
1502066,Krasnoshchekovo,RU,51.67,82.73,01/24/20,            29.82,63,100,12.77
1503153,Klyuchi,RU,52.27,79.17,01/24/20,            27.79,80,100,17.49
3420768,Qasigiannguit,GL,68.82,-51.19,01/24/20,            17.6,61,100,14.99
376332,Doka,SD,13.52,35.77,01/24/20,            65.98,21,0,13.69
5870133,Nome,US,64.5,-165.41,01/24/20,            -17.75,68,1,5.97
5359864,Isla Vista,US,34.41,-119.86,01/24/20,            68.56,56,1,4.7
3443061,Chui,UY,-33.7,-53.46,01/24/20,            80.91,52,0,7.31
6111867,Port Hawkesbury,CA,45.62,-61.35,01/24/20,            26.85,73,75,5.82
3459094,Laguna,BR,-28.48,-48.78,01/24/20,            70.54,96,7,2.66
2920997,Gernsbach,DE,48.77,8.33,01/24/20,            31.3,92,4,1.12
601551,Akdepe,TM,42.06,59.38,01/24/20,            30.94,86,100,6.93
2319133,Warri,NG,5.52,5.75,01/24/20,            76.55,42,0,4.45
1489853,Tazovsky,RU,67.47,78.7,01/24/20,            2.93,96,94,6.58
3868308,Vicuna,CL,-30.03,-70.71,01/24/20,            78.15,57,21,13.87
1263879,Mandawar,IN,29.5,78.13,01/24/20,            47.32,81,0,2.33
287832,Ibra,OM,22.69,58.53,01/24/20,            66.42,75,28,4.97
2012956,Yerbogachen,RU,61.28,108.01,01/24/20,            2.3,96,100,5.79
3118685,Laviana,ES,43.23,-5.53,01/24/20,            49.53,87,75,4.7
6156245,Stephenville Crossing,CA,48.5,-58.43,01/24/20,            15.64,66,20,2.24
3440777,Rocha,UY,-34.48,-54.33,01/24/20,            84.27,41,0,6.35
1562414,Vung Tau,VN,10.35,107.08,01/24/20,            76.12,77,35,15.43
3662489,Santa Isabel do Rio Negro,BR,-0.41,-65.02,01/24/20,            88.9,60,98,2.44
2658904,Saanen,CH,46.49,7.26,01/24/20,            32.16,70,49,5.59
5530022,San Angelo,US,31.46,-100.44,01/24/20,            65.34,32,1,5.82
750938,Bayburt,TR,40.26,40.23,01/24/20,            -2.36,79,25,2.35
3430708,Mercedes,AR,-34.65,-59.43,01/24/20,            88.84,53,23,4
1852357,Shimoda,JP,34.67,138.95,01/24/20,            43.79,80,100,1.01
1054329,Vangaindrano,MG,-23.35,47.6,01/24/20,            68.79,96,45,3.18
2654970,Brae,GB,60.4,-1.35,01/24/20,            43.59,81,100,12.75
1213855,Sibolga,ID,1.74,98.78,01/24/20,            71.51,96,13,2.75
1516048,Khovd,MN,48.01,91.64,01/24/20,            -0.24,74,8,1.01
3397963,Itamaraca,BR,-7.75,-34.83,01/24/20,            83.66,74,75,5.82
151711,Ngara,TZ,-2.51,30.66,01/24/20,            64.31,90,97,2.17
2094342,Kavieng,PG,-2.57,150.8,01/24/20,            83.05,69,17,8.16
779622,Avanuorri,NO,71,24.66,01/24/20,            24.78,73,86,11.41
3117539,Manlleu,ES,42,2.28,01/24/20,            45.61,93,64,4.7
1689663,San Isidro,PH,15.02,120.82,01/24/20,            74.89,83,90,2.24
4031637,Lavrentiya,RU,65.58,-171,01/24/20,            -16.02,78,0,3.58
2122783,Katangli,RU,51.71,143.23,01/24/20,            -0.74,95,100,7.63
5380437,Pacific Grove,US,36.62,-121.92,01/24/20,            62.4,55,1,4.7
1510689,Baykit,RU,61.67,96.37,01/24/20,            9.1,97,100,2.33
1736660,Kota Belud,MY,6.35,116.43,01/24/20,            75.09,88,75,4.7
3387423,Sitio Novo do Tocantins,BR,-5.52,-47.46,01/24/20,            91.4,63,75,2.24
2181997,Takaka,NZ,-40.85,172.8,01/24/20,            70,70,28,7
3836873,San Miguel de Tucuman,AR,-26.82,-65.22,01/24/20,            91.4,46,0,8.05
3172170,Novi Ligure,IT,44.76,8.79,01/24/20,            42.12,66,75,18.34
3128978,Balaguer,ES,41.79,0.81,01/24/20,            41.92,100,100,2.24
3372472,Vila Franca do Campo,PT,37.72,-25.43,01/24/20,            55.4,76,75,6.93
2013921,Ust-Kuyga,RU,70.02,135.6,01/24/20,            -41.19,99,33,6.93
638936,Rovaniemi,FI,66.5,25.72,01/24/20,            10.4,100,68,2.24
3661980,Tarauaca,BR,-8.16,-70.77,01/24/20,            72.39,98,100,1.97
5882953,Aklavik,CA,68.22,-135.01,01/24/20,            -4,76,90,13.87
3034639,Arrondissement de Bastia,FR,42.67,9.33,01/24/20,            50.27,93,100,2.24
3394605,Monte Alegre,BR,-2.01,-54.07,01/24/20,            91.81,45,95,3.87
3622036,Roxana,CR,10.28,-83.75,01/24/20,            81.57,54,20,10.29
1705489,Loyola,PH,8.34,126.33,01/24/20,            81.28,77,0,8.48
2146142,Townsville,AU,-19.25,146.8,01/24/20,            82.2,83,91,1.12
6255012,Flinders,AU,-34.58,150.86,01/24/20,            71.62,100,90,6.93
2029947,Moron,MN,47.38,110.32,01/24/20,            -0.58,69,0,2.62
